# bmr_kjph: basal metabolic rate in kilojoules per hour
# Food: A/T, ants & termites; B, bulbs & roots; F, fruit; G, grass; I, insects; IV, invertebrates; L, leaves; O, omnivorous; N, nectar; S, seeds; V, vertebrates; W, worms
# Climate: T, temperate; TR, tropical; P, polar; W, widespread
# Habitat: D, desert; FW, freshwater; M, mesic; MW, marine water; X, xeric; W, widespread
# Substrate: AQ, aquatic; B, burrowing; C, caves; FOSS, fossorial, T, terrestrial; TR, trees
# Torpor?: HIB, hibernation; N, no; Y, yes; ? unknown
# Islands?: N, no; Y, yes (only on islands)
# Mountains?: N, no; Y, yes (only in mountains)
species,mass_g,bmr_kjph,food,climate,habitat,substrate,torpor,islands,mountains,reference
Tachyglossus aculeatus,2140,5.63,A/T,T/TR,W,B,N,N,N,McNab (1984)
Zaglossus bartoni,10300,24.41,W,TR,M,B,N,Y,Y,McNab (1984)
Ornithorhynchus anatinus,1300,9.40,V/IV,T,FW,AQ,N,N,N,Grant and Dawson (1978)
Caluromys derbianus,357,4.09,F,TR,M,TR,N,N,N,McNab (1978a)
Marmosa microtarsus,13,0.38,I/F,T,M,T/TR,Y,N,N,Morrison and McNab (1962)
Thylamys elegans,40,0.86,I,T,M,T/TR,HIB,N,Y,Bozinovic et al. (2005)
Monodelphis domesticus,104,1.21,I,TR,X,T,N,N,N,Dawson and Olson (1988)
Monodelphis brevicaudata,111,1.52,I,TR,M,T,Y,N,N,McNab (1978a)
Marmosa robinsoni,122,1.96,I/F,TR,M,T,Y,N,N,McNab (1978a)
Metachirus nudicaudata,336,4.12,I/F,TR,M,T/TR,N,N,N,McNab (1978a)
Philander opossum,751,6.79,I/F,TR,M,T,N,N,N,McNab (1978a)
Lutrolina crassicaudata,812,8.15,V/I,T,M,T,N,N,N,McNab (1978a)
Chironectes minimus,923,7.36,V/I,TR,FW,AQ,N,N,N,Thompson (1988)
Didelphis marsupialis,1329,12.28,I/F,TR,M,T/TR,N,N,N,McNab (1978a)
Didelphis virginana,3257,21.58,I/F,T,M,T/TR,N,N,N,McNab (1978a)
Dromiciops gliroides,40,0.64,I/F,T,M,T/TR,HIB,N,N,Bozinovic et al. (2004)
Notoryctes caurinus,34.2,0.43,I,T/TR,X,FOSS,Y,N,N,Withers et al. (2000)
Myrmecobius fasciatus,480,3.73,A/T,T,X,T,N,N,N,McNab (1984)
Antechinomys laniger,24.2,0.48,I,T,X,T,Y,N,N,Dawson and Hulbert (1970)
Antechinus stuartii,36.5,0.73,I,T,M,T,Y,N,N,Dawson and Hulbert (1970)
Pseudantechinus macdonnellensis,43.1,0.55,I,T/TR,X,T,Y,N,N,MacMillen and Nelson (1969)
Antechinus flavipes,46.5,0.91,I,T/TR,M,T,Y,N,N,Geiser (1988)
Antechinus swainsoni,66.9,1.28,I,T,M,T,Y?,N,N,Chappell and Dawson (1994)
Dasycercus cristicauda,88.8,0.93,V/I,T/TR,M,T,Y,N,N,MacMillen and Nelson (1969)
Dasyuroides byrnei,118.2,1.66,V/I,T,X,T,Y,N,N,Geiser and Baudinette (1987)
Phascogale tapoatafa,157,2.55,V/I,T/TR,M,TR,N,N,N,MacMillen and Nelson (1969)
Dasyurus hallucatus,584,5.98,V/I,TR,M,T,N,N,N,MacMillen and Nelson (1969)
Dasyurus viverrinus,910,8.22,V,T,M,T,N,N,N,MacMillen and Nelson (1969)
Dasyurus geoffroii,1354,11.42,V,T,M,T,N,N,N,Arnold and Shield (1970)
Dasyurus maculatus,1782,11.81,V,T/TR,M,T/TR,N,N,N,MacMillen and Nelson (1969)
Sarcophilus harrisii,5050,28.39,V,T,M,T,N,N,N,MacMillen and Nelson (1969)
Planigale tenuirostris,7.1,0.23,I,TR,X,T,Y,N,N,Dawson and Wolfers (1978)
Planigale ingrami,7.1,0.23,I,TR,X,T,Y,N,N,Dawson and Wolfers (1978)
Planigale gilesi,9.4,0.26,I,T,X,T,Y,N,N,Dawson and Wolfers (1978)
Ningaui yvonneae,11.6,0.32,I,T,X,T,Y,N,N,Geiser and Baudinette (1988)
Planigale maculate,13.1,0.27,I,T/TR,M,T,Y,N,N,Morton and Lee (1978)
Sminthopsis crassicaudata,17.7,0.44,I,T,X,T,Y,N,N,Geiser and Baudinette (1987)
Sminthopsis murina,19.0,0.43,I,T/TR,X,T,Y,N,N,Geiser et al. (1984)
Sminthopsis macroura,22.0,0.47,I,T/TR,X,T,Y,N,N,Geiser and Baudinette (1987)
Macrotis lagotis,1011,7.11,I,T/TR,X,B,N,N,N,Hulbert and Dawson (1974)
Isoodon auratus,428,3.01,I,TR,X,T,N,N,N,Withers (1992)
Perameles nasuta,645,6.35,I,T/TR,M,T,N,N,N,Hulbert and Dawson (1974)
Isoodon obesulus,717.2,4.46,I,T/TR,M,T,N,N,N,Hinds et al. (1993)
Perameles gunni,837.3,8.44,I,T,M,T,N,N,N,Hinds et al. (1993)
Isoodon macrourus,1551,12.77,I/F,T/TR,M,T,N,N,N,Hulbert and Dawson (1974)
Echymipera kalabu,695,6.84,I/F,TR,M,T,N,N,N,Hulbert and Dawson (1974)
Echymipera rufescens,1276,10.86,I/F,TR,M,T,N,N,N,Hulbert and Dawson (1974)
Phsascolarctos cinereus,4765,21.05,L,T/TR,M,TR,N,N,N,Degabriele and Dawson (1979)
Lasiorhinus latifrons,25000,50.20,G,T,X,B,N,N,N,Wells (1978)
Cercartetus lepidus,12.6,0.38,I,T,M,T/TR,HIB,N,N,Geiser (1987)
Cercartetus concinnus,18.6,0.45,I,T,X,T/TR,HIB,N,N,Geiser (1987)
