year,sex,enrolled_millions
1947,male,1.659249
1947,female,0.678977
1948,male,1.709367
1948,female,0.694029
1949,male,1.721572
1949,female,0.723328
1950,male,1.560392
1950,female,0.720906
1951,male,1.39074
1951,female,0.711222
1952,male,1.380357
1952,female,0.753885
1953,male,1.422598
1953,female,0.808456
1954,male,1.563382
1954,female,0.883311
1955,male,1.733184
1955,female,0.91985
1956,male,1.911458
1956,female,1.006754
1957,male,2.170765
1957,female,1.153018
1959,male,2.332617
1959,female,1.30723
1961,male,2.585821
1961,female,1.559244
1963,male,2.96154
1963,female,1.818069
1964,male,3.248713
1964,female,2.031307
1965,male,3.63002
1965,female,2.290844
1966,male,3.856216
1966,female,2.533656
1967,male,4.1328
1967,female,2.778948
1968,male,4.477649
1968,female,3.035442
1969,male,4.746201
1969,female,3.258459
1970,male,5.043642
1970,female,3.537245
1971,male,5.207004
1971,female,3.74164
1972,male,5.238757
1972,female,3.976103
1973,male,5.371052
1973,female,4.231071
1974,male,5.622429
1974,female,4.6013
1975,male,6.148997
1975,female,5.035862
1976,male,5.810828
1976,female,5.201309
1977,male,5.789016
1977,female,5.496771
1978,male,5.640998
1978,female,5.619094
1979,male,5.682877
1979,female,5.887022
1980,male,5.874374
1980,female,6.222521
1981,male,5.975056
1981,female,6.396616
1982,male,6.031384
1982,female,6.394396
1983,male,6.023725
1983,female,6.440936
1984,male,5.863574
1984,female,6.378366
1985,male,5.81845
1985,female,6.428605
1986,male,5.884515
1986,female,6.618996
1987,male,5.932056
1987,female,6.834586
1988,male,6.001896
1988,female,7.053441
1989,male,6.190015
1989,female,7.348545
1990,male,6.283909
1990,female,7.534728
1991,male,6.501844
1991,female,7.857109
1992,male,6.523989
1992,female,7.96337
1993,male,6.42745
1993,female,7.877353
1994,male,6.371898
1994,female,7.906892
1995,male,6.342539
1995,female,7.919242
1996,male,6.352825
1996,female,8.014695
1997,male,6.396028
1997,female,8.106306
1998,male,6.369265
1998,female,8.137702
1999,male,6.515164
1999,female,8.334527
2000,male,6.721769
2000,female,8.59052
2001,male,6.960815
2001,female,8.967172
2002,male,7.202116
2002,female,9.409595
2003,male,7.260264
2003,female,9.651217
2004,male,7.387262
2004,female,9.884782
2005,male,7.455925
2005,female,10.03155
2006,male,7.572265
2006,female,10.181965
2007,male,7.819938
2007,female,10.4382
2008,male,8.177714
2008,female,10.903972
2009,male,8.732953
2009,female,11.580641
2010,male,9.045759
2010,female,11.973679
2011,male,9.034256
2011,female,11.976334
2012,male,8.919006
2012,female,11.725472
2013,male,8.861197
2013,female,11.51548
2014,male,8.79753
2014,female,11.411562
2015,male,8.723819
2015,female,11.264385
2016,male,8.638422
2016,female,11.208482
2017,male,8.571314
2017,female,11.206837
2018,male,8.444614
2018,female,11.206798
2019,male,8.363889
2019,female,11.266289
2020,male,7.885033
2020,female,11.142377
2021,male,7.767866
2021,female,10.89089
2022,male,7.818317
2022,female,10.76518
2023,male,8.0665
2023,female,10.973084
