volcano,start,start_error,start_year,stop,stop_error,stop_year,duration,confirmed,vei
Kīlauea,2024-06-03,0,2024,2024-06-03,0,2024,0,TRUE,NA
Atka Volcanic Complex,2024-03-27,0,2024,2024-03-27,0,2024,0,TRUE,NA
Ahyi,2024-01-01,0,2024,2024-03-27,0,2024,86,TRUE,NA
Kanaga,2023-12-18,0,2023,2023-12-18,0,2023,0,TRUE,1
Ruby,2023-09-14,0,2023,2023-09-15,0,2023,1,TRUE,1
Shishaldin,2023-07-11,1,2023,2023-11-03,0,2023,115,TRUE,3
Mauna Loa,2022-11-27,0,2022,2022-12-10,0,2022,13,TRUE,0
Ahyi,2022-11-18,1,2022,2023-06-11,0,2023,205,TRUE,1
Kīlauea,2021-09-29,0,2021,2023-09-16,0,2023,717,TRUE,0
Pavlof,2021-08-05,0,2021,2022-12-07,0,2022,489,TRUE,2
Pagan,2021-07-29,0,2021,2021-09-06,0,2021,39,TRUE,2
Great Sitkin,2021-05-25,0,2021,2024-07-23,0,2024,1155,TRUE,2
Veniaminof,2021-02-28,0,2021,2021-04-05,0,2021,36,TRUE,1
Semisopochnoi,2021-02-02,2,2021,2023-05-05,0,2023,822,TRUE,2
Kīlauea,2020-12-20,0,2020,2021-05-23,0,2021,154,TRUE,0
Cleveland,2020-06-01,0,2020,2020-06-01,0,2020,0,TRUE,3
Semisopochnoi,2019-12-07,0,2019,2020-06-19,0,2020,195,TRUE,1
Cleveland,2019-11-07,0,2019,2019-12-07,0,2019,30,FALSE,NA
Shishaldin,2019-07-23,0,2019,2020-05-04,0,2020,286,TRUE,3
Semisopochnoi,2019-07-16,0,2019,2019-08-24,0,2019,39,TRUE,1
Great Sitkin,2019-06-01,0,2019,2019-06-07,0,2019,6,TRUE,1
Semisopochnoi,2018-09-08,0,2018,2018-10-31,0,2018,53,TRUE,1
Veniaminof,2018-09-04,0,2018,2018-12-23,0,2018,110,TRUE,1
Great Sitkin,2018-06-10,0,2018,2018-08-11,0,2018,62,TRUE,1
Bogoslof,2016-12-20,0,2016,2017-08-30,0,2017,253,TRUE,3
Cleveland,2016-04-16,0,2016,2019-01-16,0,2019,1005,TRUE,2
Pavlof,2016-03-27,0,2016,2016-07-30,0,2016,125,TRUE,3
Pavlof,2014-11-12,0,2014,2014-11-15,0,2014,3,TRUE,3
Pavlof,2014-05-31,0,2014,2014-06-06,0,2014,6,TRUE,3
Ahyi,2014-04-24,0,2014,2014-05-17,0,2014,23,TRUE,2
Shishaldin,2014-01-30,0,2014,2015-07-03,0,2015,519,TRUE,1
Veniaminof,2013-06-13,0,2013,2013-10-12,1,2013,121,TRUE,3
Pavlof,2013-05-13,0,2013,2013-06-26,0,2013,44,TRUE,3
Mariana Back-Arc Segment at 15.5°N,2013-02-13,0,2013,2015-12-01,0,2015,1021,TRUE,0
Pagan,2012-07-10,0,2012,2012-07-10,0,2012,0,TRUE,2
Kanaga,2012-02-18,0,2012,2012-02-18,0,2012,0,TRUE,2
Cleveland,2011-07-19,7,2011,2015-08-18,0,2015,1491,TRUE,2
Pagan,2011-04-23,0,2011,2011-09-01,0,2011,131,TRUE,2
Cleveland,2010-09-11,0,2010,2010-09-12,0,2010,1,FALSE,NA
Cleveland,2010-05-30,0,2010,2010-06-02,0,2010,3,TRUE,2
South Sarigan Seamount,2010-05-27,0,2010,2010-05-29,0,2010,2,TRUE,3
Pagan,2010-05-03,0,2010,2010-08-11,0,2010,100,TRUE,1
Cleveland,2009-10-02,0,2009,2009-12-12,0,2009,71,TRUE,2
Cleveland,2009-06-25,0,2009,2009-06-25,0,2009,0,TRUE,2
Pagan,2009-04-15,0,2009,NA,0,NA,NA,FALSE,NA
Redoubt,2009-03-15,0,2009,2009-07-01,30,2009,108,TRUE,3
Cleveland,2009-01-02,0,2009,2009-01-21,0,2009,19,TRUE,2
Kasatochi,2008-08-07,0,2008,2008-08-09,0,2008,2,TRUE,4
Okmok,2008-07-12,0,2008,2008-08-19,0,2008,38,TRUE,4
Veniaminof,2008-02-22,0,2008,2008-03-01,0,2008,8,TRUE,1
Shishaldin,2008-02-12,0,2008,2008-02-12,0,2008,0,FALSE,NA
Anatahan,2007-11-27,3,2007,2008-08-09,0,2008,256,TRUE,2
