volcano,start,stop,duration,confirmed,vei,landform,type,summit_ft,underwater
Kīlauea,2024-06-03,2024-06-03,0,TRUE,NA,Shield,Shield,4009,FALSE
Atka Volcanic Complex,2024-03-27,2024-03-27,0,TRUE,NA,Composite,Stratovolcano,4980,FALSE
Ahyi,2024-01-01,2024-03-27,86,TRUE,NA,Composite,Stratovolcano,-246,TRUE
Kanaga,2023-12-18,2023-12-18,0,TRUE,1,Composite,Stratovolcano,4288,FALSE
Ruby,2023-09-14,2023-09-15,1,TRUE,1,Composite,Stratovolcano,-571,TRUE
Shishaldin,2023-07-11,2023-11-03,115,TRUE,3,Composite,Stratovolcano,9373,FALSE
Mauna Loa,2022-11-27,2022-12-10,13,TRUE,0,Shield,Shield,13681,FALSE
Ahyi,2022-11-18,2023-06-11,205,TRUE,1,Composite,Stratovolcano,-246,TRUE
Kīlauea,2021-09-29,2023-09-16,717,TRUE,0,Shield,Shield,4009,FALSE
Pavlof,2021-08-05,2022-12-07,489,TRUE,2,Composite,Stratovolcano,8179,FALSE
Pagan,2021-07-29,2021-09-06,39,TRUE,2,Composite,Stratovolcano,1870,FALSE
Great Sitkin,2021-05-25,2024-07-23,1155,TRUE,2,Composite,Stratovolcano,5709,FALSE
Veniaminof,2021-02-28,2021-04-05,36,TRUE,1,Composite,Stratovolcano,8225,FALSE
Semisopochnoi,2021-02-02,2023-05-05,822,TRUE,2,Composite,Stratovolcano,4006,FALSE
Kīlauea,2020-12-20,2021-05-23,154,TRUE,0,Shield,Shield,4009,FALSE
Cleveland,2020-06-01,2020-06-01,0,TRUE,3,Composite,Stratovolcano,5676,FALSE
Semisopochnoi,2019-12-07,2020-06-19,195,TRUE,1,Composite,Stratovolcano,4006,FALSE
Cleveland,2019-11-07,2019-12-07,30,FALSE,NA,Composite,Stratovolcano,5676,FALSE
Shishaldin,2019-07-23,2020-05-04,286,TRUE,3,Composite,Stratovolcano,9373,FALSE
Semisopochnoi,2019-07-16,2019-08-24,39,TRUE,1,Composite,Stratovolcano,4006,FALSE
Great Sitkin,2019-06-01,2019-06-07,6,TRUE,1,Composite,Stratovolcano,5709,FALSE
Semisopochnoi,2018-09-08,2018-10-31,53,TRUE,1,Composite,Stratovolcano,4006,FALSE
Veniaminof,2018-09-04,2018-12-23,110,TRUE,1,Composite,Stratovolcano,8225,FALSE
Great Sitkin,2018-06-10,2018-08-11,62,TRUE,1,Composite,Stratovolcano,5709,FALSE
Bogoslof,2016-12-20,2017-08-30,253,TRUE,3,Composite,Stratovolcano,492,FALSE
Cleveland,2016-04-16,2019-01-16,1005,TRUE,2,Composite,Stratovolcano,5676,FALSE
Pavlof,2016-03-27,2016-07-30,125,TRUE,3,Composite,Stratovolcano,8179,FALSE
Pavlof,2014-11-12,2014-11-15,3,TRUE,3,Composite,Stratovolcano,8179,FALSE
