code,country,region,income_group,year,rate
AFG,Afghanistan,South Asia,Low,1960,7.282
AFG,Afghanistan,South Asia,Low,1961,7.284
AFG,Afghanistan,South Asia,Low,1962,7.292
AFG,Afghanistan,South Asia,Low,1963,7.302
AFG,Afghanistan,South Asia,Low,1964,7.304
AFG,Afghanistan,South Asia,Low,1965,7.305
AFG,Afghanistan,South Asia,Low,1966,7.32
AFG,Afghanistan,South Asia,Low,1967,7.339
AFG,Afghanistan,South Asia,Low,1968,7.363
AFG,Afghanistan,South Asia,Low,1969,7.389
AFG,Afghanistan,South Asia,Low,1970,7.4
AFG,Afghanistan,South Asia,Low,1971,7.432
AFG,Afghanistan,South Asia,Low,1972,7.453
AFG,Afghanistan,South Asia,Low,1973,7.487
AFG,Afghanistan,South Asia,Low,1974,7.526
AFG,Afghanistan,South Asia,Low,1975,7.542
AFG,Afghanistan,South Asia,Low,1976,7.561
AFG,Afghanistan,South Asia,Low,1977,7.591
AFG,Afghanistan,South Asia,Low,1978,7.599
AFG,Afghanistan,South Asia,Low,1979,7.612
AFG,Afghanistan,South Asia,Low,1980,7.588
AFG,Afghanistan,South Asia,Low,1981,7.568
AFG,Afghanistan,South Asia,Low,1982,7.553
AFG,Afghanistan,South Asia,Low,1983,7.537
AFG,Afghanistan,South Asia,Low,1984,7.513
AFG,Afghanistan,South Asia,Low,1985,7.517
AFG,Afghanistan,South Asia,Low,1986,7.519
AFG,Afghanistan,South Asia,Low,1987,7.526
AFG,Afghanistan,South Asia,Low,1988,7.531
AFG,Afghanistan,South Asia,Low,1989,7.533
AFG,Afghanistan,South Asia,Low,1990,7.565
AFG,Afghanistan,South Asia,Low,1991,7.606
AFG,Afghanistan,South Asia,Low,1992,7.665
AFG,Afghanistan,South Asia,Low,1993,7.719
AFG,Afghanistan,South Asia,Low,1994,7.717
AFG,Afghanistan,South Asia,Low,1995,7.712
AFG,Afghanistan,South Asia,Low,1996,7.709
AFG,Afghanistan,South Asia,Low,1997,7.667
AFG,Afghanistan,South Asia,Low,1998,7.642
AFG,Afghanistan,South Asia,Low,1999,7.599
AFG,Afghanistan,South Asia,Low,2000,7.534
AFG,Afghanistan,South Asia,Low,2001,7.446
AFG,Afghanistan,South Asia,Low,2002,7.339
AFG,Afghanistan,South Asia,Low,2003,7.22
AFG,Afghanistan,South Asia,Low,2004,7.069
AFG,Afghanistan,South Asia,Low,2005,6.905
AFG,Afghanistan,South Asia,Low,2006,6.722
AFG,Afghanistan,South Asia,Low,2007,6.53
AFG,Afghanistan,South Asia,Low,2008,6.376
AFG,Afghanistan,South Asia,Low,2009,6.235
AFG,Afghanistan,South Asia,Low,2010,6.099
AFG,Afghanistan,South Asia,Low,2011,5.958
AFG,Afghanistan,South Asia,Low,2012,5.83
