name,Country,Volcanic Province,Landform | Volc Type,Last Known Eruption,Latitude,Longitude,Summit,Elevation
Kīlauea,United States,Hawaiian-Emperor Hotspot Volcano Group,Shield | Shield,2024 CE,19.421°N,155.287°W,"1,222 m","4,009 ft"
Atka Volcanic Complex,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano(es),2024 CE,52.331°N,174.139°W,"1,518 m","4,980 ft"
Ahyi,United States,Mariana Volcanic Arc,Composite | Stratovolcano,2024 CE,20.42°N,145.03°E,-75 m,-246 ft
Kanaga,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2023 CE,51.923°N,177.168°W,"1,307 m","4,288 ft"
Ruby,United States,Mariana Volcanic Arc,Composite | Stratovolcano,2023 CE,15.605°N,145.572°E,174 m,571 ft
Shishaldin,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2023 CE,54.756°N,163.97°W,"2,857 m","9,373 ft"
Mauna Loa,United States,Hawaiian-Emperor Hotspot Volcano Group,Shield | Shield,2022 CE,19.475°N,155.608°W,"4,170 m","13,681 ft"
Pavlof,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2022 CE,55.417°N,161.894°W,"2,493 m","8,179 ft"
Pagan,United States,Mariana Volcanic Arc,Composite | Stratovolcano(es),2021 CE,18.13°N,145.8°E,570 m,"1,870 ft"
Great Sitkin,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2024 CE,52.076°N,176.13°W,"1,740 m","5,709 ft"
Veniaminof,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2021 CE,56.17°N,159.38°W,"2,507 m","8,225 ft"
Semisopochnoi,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2023 CE,51.93°N,179.58°E,"1,221 m","4,006 ft"
Cleveland,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2020 CE,52.825°N,169.944°W,"1,730 m","5,676 ft"
Bogoslof,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2017 CE,53.93°N,168.03°W,150 m,492 ft
Mariana Back-Arc Segment at 15.5°N,United States,Mariana Volcanic Arc,Cluster | Fissure vent,2015 CE,15.406°N,144.506°E,"-4,100 m","-13,451 ft"
South Sarigan Seamount,United States,Mariana Volcanic Arc,Composite | Stratovolcano,2010 CE,16.58°N,145.78°E,-184 m,-604 ft
Redoubt,United States,Alaska Peninsula Volcanic Arc,Composite | Stratovolcano,2009 CE,60.485°N,152.742°W,"3,108 m","10,197 ft"
Kasatochi,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,2008 CE,52.177°N,175.508°W,314 m,"1,030 ft"
Okmok,United States,Aleutian Ridge Volcanic Arc,Shield | Shield,2008 CE,53.43°N,168.13°W,"1,073 m","3,520 ft"
Anatahan,United States,Mariana Volcanic Arc,Composite | Stratovolcano,2008 CE,16.35°N,145.67°E,790 m,"2,592 ft"
Fourpeaked,United States,Alaska Peninsula Volcanic Arc,Composite | Stratovolcano,2006 CE,58.77°N,153.672°W,"2,105 m","6,906 ft"
Augustine,United States,Alaska Peninsula Volcanic Arc,Composite | Lava dome(s),2006 CE,59.3626°N,153.435°W,"1,218 m","3,996 ft"
St. Helens,United States,High Cascades Volcanic Arc,Composite | Stratovolcano,2008 CE,46.2°N,122.18°W,"2,549 m","8,363 ft"
NW Rota-1,United States,Mariana Volcanic Arc,Composite | Stratovolcano,2010 CE,14.601°N,144.775°E,-517 m,"-1,696 ft"
Vailulu'u,United States,Samoan Hotspot Volcano Group,Shield | Shield,2003 CE,14.215°S,169.058°W,-592 m,"-1,942 ft"
Wrangell,United States,Wrangell Volcanic Arc,Shield | Shield,1912 CE,62.006°N,144.017°W,"4,278 m","14,035 ft"
Chiginagak,United States,Alaska Peninsula Volcanic Arc,Composite | Stratovolcano,1998 CE,57.135°N,156.99°W,"2,221 m","7,287 ft"
Amukta,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,1997 CE,52.5°N,171.252°W,"1,066 m","3,497 ft"
Gareloi,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,1989 CE,51.79°N,178.794°W,"1,573 m","5,161 ft"
North Gorda Ridge Segment,United States,Northeast Pacific Rift Zones,Cluster | Fissure vent(s),1996 CE,42.67°N,126.78°W,"-3,000 m","-9,843 ft"
Kama'ehuakanaloa,United States,Hawaiian-Emperor Hotspot Volcano Group,Shield | Shield,1996 CE,18.92°N,155.27°W,-975 m,"-3,199 ft"
Makushin,United States,Aleutian Ridge Volcanic Arc,Composite | Stratovolcano,1995 CE,53.891°N,166.923°W,"1,800 m","5,906 ft"
