year,co2_avg_ppm,acidity_avg_ph
1989,353.21584905660376,8.10951
1990,354.45384615384614,8.108866666666668
1991,355.74134615384617,8.1093
1992,356.5471153846154,8.1082
1993,357.2280769230769,8.100999999999999
1994,358.9651923076923,8.104911111111111
1995,360.9792452830189,8.101955555555556
1996,362.75634615384615,8.10359
1997,363.8875,8.09504
1998,366.86538461538464,8.083525
1999,368.52153846153846,8.083450000000001
2000,369.73283018867926,8.081872727272728
2001,371.3411538461539,8.083633333333333
2002,373.4746153846154,8.08698
2003,375.9875,8.094927272727272
2004,377.7203846153846,8.097408333333334
2005,380.0558823529412,8.08844
2006,382.08358490566036,8.084558333333334
2007,384.08346153846156,8.078899999999999
2008,385.7934693877551,8.0799625
2009,387.6630769230769,8.07301
2010,390.0851923076923,8.075844444444444
2011,391.8598076923077,8.07576
2012,394.0688679245283,8.06087
2013,396.77326923076924,8.06796
2014,398.8575,8.07339
2015,401.02076923076925,8.072330000000001
2016,404.43442307692305,8.07388888888889
2017,406.77490566037733,8.06809
2018,408.74634615384616,8.06695
2019,411.68134615384616,8.065011111111112
2020,414.2263461538462,8.074950000000001
2021,416.4055769230769,8.0541
2022,418.51480769230767,8.0493
2023,421.08,8.047177777777778
